service_id,date,exception_type
"MF10-21-735-aus","20250929","2"
"MF10-21-735-aus","20250930","2"
"MF10-21-735-aus","20251001","2"
"MF10-21-735-aus","20251006","2"
"MF10-21-735-aus","20251007","2"
"MF10-21-735-aus","20251008","2"
"MF10-21-735-aus","20251013","2"
"MF10-21-735-aus","20251014","2"
"MF10-21-735-aus","20251015","2"
"MF10-21-735-aus","20251027","2"
"MF10-21-735-aus","20251028","2"
"MF10-21-735-aus","20251029","2"
"MF10-21-735-aus","20251103","2"
"MF10-21-735-aus","20251104","2"
"MF10-21-735-aus","20251105","2"
"MF10-21-735-aus","20251110","2"
