route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6-a42-mjp-1","","1","Swan Hill North Via Swan Hill North","3","FF8200","FFFFFF"
"6-a43-mjp-1","","2","Swan Hill South Via Swan Hill South","3","FF8200","FFFFFF"
"6-a44-mjp-1","","","Albury - Myrtleford Via Wodonga","3","FF8200","FFFFFF"
"6-a47-mjp-1","","","Cowes - Wonthaggi Via Anderson, San Remo","3","FF8200","FFFFFF"
"6-a48-mjp-1","","North","Wonthaggi Via North Wonthaggi","3","FF8200","FFFFFF"
"6-a49-mjp-1","","South","Wonthaggi Via South Wonthaggi","3","FF8200","FFFFFF"
"6-a50-mjp-1","","","Alvie - Colac Via Coragulac","3","FF8200","FFFFFF"
"6-alb-mjp-1","","","Ararat - Lake Bolac Via Willaura","3","FF8200","FFFFFF"
"6-alc-mjp-1","","","Corowa - Albury Via Barnawartha, Rutherglen","3","FF8200","FFFFFF"
"6-ALX-mjp-1","","","Marysville - Alexandra Via Taggerty, Buxton","3","FF8200","FFFFFF"
"6-Apr-mjp-1","","","Hopkins Correctional Centre - Ararat Via Hopkins Correctional Centre","3","FF8200","FFFFFF"
"6-Ar1-mjp-1","","1","Ararat West Via Brewster St, Lowe St","3","FF8200","FFFFFF"
"6-Ar2-mjp-1","","2","Ararat South Via Burke Rd, Churchill Av","3","FF8200","FFFFFF"
"6-Ar3-mjp-1","","3","Ararat North Via Baird St, Melbourne Polytechnic, Alfred St","3","FF8200","FFFFFF"
"6-ArM-mjp-1","","","Maryborough - Ararat Via Avoca","3","FF8200","FFFFFF"
"6-ArS-mjp-1","","","Ararat - Stawell Via Great Western","3","FF8200","FFFFFF"
"6-b29-mjp-1","","","Maryborough - Bendigo Via Maryborough","3","FF8200","FFFFFF"
"6-BM8-mjp-1","","Barmah 8","Barmah - Echuca Via Barmah","3","FF8200","FFFFFF"
"6-BNI-mjp-1","","1","Benalla West Via Benalla West","3","FF8200","FFFFFF"
"6-BNZ-mjp-1","","2","Benalla East Via Benalla East","3","FF8200","FFFFFF"
"6-Bor-mjp-1","","","Bendigo - Boort Via Wedderburn, Inglewood","3","FF8200","FFFFFF"
"6-BxW-mjp-1","","","Woomelang - Bendigo Via Wedderburn, Charlton, Birchip","3","FF8200","FFFFFF"
