route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"6-13-mjp-1","T0","1.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0","","2"
"6-13-mjp-1","T2","1.T2.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0","","2"
"6-13-mjp-1","UU","1.UU.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0","","2"
"6-13-mjp-1","UZ","1.UZ.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0","","2"
"6-13-mjp-1","T0","2.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0","","2"
"6-13-mjp-1","T2","2.T2.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1","","2"
"6-13-mjp-1","UU","2.UU.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1","","2"
"6-13-mjp-1","UZ","2.UZ.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1","","2"
"6-13-mjp-1","T0","3.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0","","2"
"6-13-mjp-1","T0","4.T0.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0","","2"
"6-13-mjp-1","T0","5.T0.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0","","2"
"6-13-mjp-1","T0","6.T0.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1","","2"
"6-13-mjp-1","T0","7.T0.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1","","2"
"6-13-mjp-1","T0","8.T0.6-13-mjp-1.4.R","6-13-mjp-1.4.R","Bairnsdale","1","","2"
"6-13-mjp-1","T0","9.T0.6-13-mjp-1.5.R","6-13-mjp-1.5.R","Bairnsdale","1","","2"
"6-14-mjp-1","T0+WD6F","1.T0.6-14-mjp-1.1.H","6-14-mjp-1.1.H","Omeo","0","","2"
"6-14-mjp-1","T0+WD10","2.T0.6-14-mjp-1.1.H","6-14-mjp-1.1.H","Omeo","0","","2"
"6-14-mjp-1","T0+WD11","3.T0.6-14-mjp-1.2.R","6-14-mjp-1.2.R","Bairnsdale","1","","2"
"6-14-mjp-1","T0+WD0E","4.T0.6-14-mjp-1.2.R","6-14-mjp-1.2.R","Bairnsdale","1","","2"
"6-14-mjp-1","T0+WD11","5.T0.6-14-mjp-1.2.R","6-14-mjp-1.2.R","Bairnsdale","1","","2"
"6-209-mjp-1","T0","1.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T2","1.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T0","2.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T2","2.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T0","3.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T2","3.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T0","4.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T2","4.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Wurruk","0","","1"
"6-209-mjp-1","T0","5.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T2","5.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T0","6.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T2","6.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T0","7.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T2","7.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T0","8.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-209-mjp-1","T2","8.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Sale","1","","1"
"6-298-mjp-1","T0","1.T0.6-298-mjp-1.1.H","6-298-mjp-1.1.H","Gippsland Regional Sport Complex","0","","1"
"6-298-mjp-1","T2","1.T2.6-298-mjp-1.2.H","6-298-mjp-1.2.H","Gippsland Regional Sport Complex","0","","1"
"6-298-mjp-1","T0","10.T0.6-298-mjp-1.3.R","6-298-mjp-1.3.R","Sale","1","","1"
"6-298-mjp-1","T2","10.T2.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T0","11.T0.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T2","11.T2.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T0","12.T0.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T2","12.T2.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T0","13.T0.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
"6-298-mjp-1","T0","14.T0.6-298-mjp-1.4.R","6-298-mjp-1.4.R","Sale","1","","1"
