route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"11-box-mjp-1","T2","34.T2.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T3","34.T3.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","35.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","36.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","37.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","38.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","39.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","4.T0.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T2","4.T2.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T3","4.T3.11-box-mjp-1.1.H","11-box-mjp-1.1.H","Box Hill","0","","1"
"11-box-mjp-1","T0","40.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","41.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","42.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","43.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","44.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","45.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
"11-box-mjp-1","T0","46.T0.11-box-mjp-1.2.R","11-box-mjp-1.2.R","Melbourne Airport","1","","1"
